dwt_denoise_wavelet,dwt_threshold,dwt_multi_wavelet,model,test_acc
haar,0.2,none,kerasnn,0.1895325183868408
haar,0.2,none,knc,0.5355691056910569
haar,0.2,none,logreg,0.2657520325203252
haar,0.2,none,nn,0.1880081300813008
haar,0.2,none,rfc,0.9065040650406504
haar,0.2,none,svc,0.19054878048780488
haar,0.2,sym4,dtc,0.8297764227642277
haar,0.2,sym4,gbc,0.8800813008130082
haar,0.2,sym4,kerasnn,0.9105691313743592
haar,0.2,sym4,knc,0.6244918699186992
haar,0.2,sym4,logreg,0.9034552845528456
haar,0.2,sym4,nn,0.6534552845528455
haar,0.2,sym4,rfc,0.8790650406504065
haar,0.2,sym4,svc,0.8805894308943092
haar,0.3,coif4,dtc,0.8180894308943092
haar,0.3,coif4,gbc,0.8826219512195121
haar,0.3,coif4,kerasnn,0.8582317233085632
haar,0.3,coif4,knc,0.4710365853658536
haar,0.3,coif4,logreg,0.8866869918699187
haar,0.3,coif4,nn,0.1880081300813008
haar,0.3,coif4,rfc,0.8836382113821138
haar,0.3,coif4,svc,0.7322154471544715
haar,0.3,db4,dtc,0.8175813008130082
haar,0.3,db4,gbc,0.8770325203252033
haar,0.3,db4,kerasnn,0.8744918704032898
haar,0.3,db4,knc,0.6275406504065041
haar,0.3,db4,logreg,0.8846544715447154
haar,0.3,db4,nn,0.1880081300813008
haar,0.3,db4,rfc,0.8826219512195121
haar,0.3,db4,svc,0.8633130081300813
haar,0.3,dmey,dtc,0.8125
haar,0.3,dmey,gbc,0.8810975609756098
haar,0.3,dmey,kerasnn,0.8658536672592163
haar,0.3,dmey,knc,0.5005081300813008
haar,0.3,dmey,logreg,0.8978658536585366
haar,0.3,dmey,nn,0.1880081300813008
haar,0.3,dmey,rfc,0.8734756097560976
haar,0.3,dmey,svc,0.7322154471544715
haar,0.3,haar,dtc,0.8206300813008129
haar,0.3,haar,gbc,0.8841463414634146
haar,0.3,haar,kerasnn,0.8810975551605225
haar,0.3,haar,knc,0.7347560975609756
haar,0.3,haar,logreg,0.8922764227642277
haar,0.3,haar,nn,0.9019308943089432
haar,0.3,haar,rfc,0.8882113821138211
